0.993,0,-0.563,-0.474,0,0.731,0,0.002,-0.617,0
-0.583,-0.776,-0.823,0.73,0,-0.499,0.437,-0.817,0.703,-0.6
0,-0.744,0,0.165,-0.599,0.338,0,0,0,-1
0.943,0.46,-0.617,0.739,0.193,0,-0.524,-0.203,-0.714,0.948
-1,0.741,0.945,-0.508,0,0.427,0,0.056,0.983,0
0.978,-0.218,-0.063,0.776,0.512,0,0.885,0.945,0,0.943
0.37,0.355,0,-0.381,0.857,-0.437,0,-0.465,-0.425,0.703
-0.6,0,-0.56,0.317,-0.448,-0.794,0,0.643,-0.14,-0.371
0.338,-0.294,0,0.253,0.262,-0.413,0.023,0.509,0,0
-0.347,0,-0.379,0,0,-0.816,0.874,0.749,-0.332,-0.356
