0,0,0.696,0,-0.913,-0.462,0.556,0,0,0
-0.249,-0.289,-0.259,-0.958,-0.588,-1,-0.521,0,-0.883,-0.662
-0.245,0,0,-0.633,0,0,-0.403,-0.78,-0.552,-0.392
-0.458,-0.983,-0.512,-0.202,0.16,-0.826,0.125,-0.338,-0.78,-0.832
0.655,0,-0.386,0.994,-0.223,-0.888,-0.454,-0.306,-0.754,-0.768
0,0.053,0,-0.456,1.0,0,0,-0.906,0.175,-0.636
-0.069,-0.903,0.413,0.645,0,-0.83,0,0,0,-0.906
-0.004,-0.019,0,0,-0.236,-0.99,-0.107,-0.973,-0.15,-0.851
0.241,0.619,-0.507,-0.196,0.805,1.0,-0.333,0,-0.027,1.0
-0.656,-0.072,-0.859,0,-1,0,0.045,0.777,0.163,-0.654
