0.843,-0.586,0.795,0.808,0,0,0.1,1.0,0.35,0
0,0.054,0.103,0.901,0.582,0.452,-0.226,0.98,0.058,0.826
0.138,0,0.443,0.859,-0.912,-0.012,0.896,0.598,0,0.035
-0.089,0,0,0.265,0.209,0.555,0.668,0.579,0.987,-0.245
-0.708,0.092,-0.804,0,-0.329,-0.114,0,0,0.142,0.557
0,0.792,0,0.565,0,0,0.887,0.222,0.444,-0.167
-0.213,0,0.929,0,0.144,0.132,-0.16,0.35,0,0
0,-0.855,-0.854,0,-1,0.694,0.796,0.176,0.164,0
-0.947,0.936,0.192,0.598,0.701,-0.276,-0.547,0.648,0.717,0.213
0.124,0.142,0.327,0.518,0.092,1.0,0,0.389,0.948,0
